theme,url,img,lines,author
CHARITY,/inspirational-quotes/7565-generosity-consists-not-the-sum-given-but-the,https://assets.passiton.com/quotes/quote_artwork/7565/medium/20250303_monday_quote.jpg,"Generosity consists not the sum given, but the manner in which it is bestowed. ",<Author:0x00007ff7e24a6230>
KINDNESS,/inspirational-quotes/8349-how-do-we-change-the-world-one-random-act-of,https://assets.passiton.com/quotes/quote_artwork/8349/medium/20250228_friday_quote.jpg,How do we change the world? One random act of kindness at a time. ,<Author:0x00007ff7e24a2950>
KINDNESS,/inspirational-quotes/4471-we-rise-by-lifting-others,https://assets.passiton.com/quotes/quote_artwork/4471/medium/20250227_thursday_quote.jpg,We rise by lifting others. ,<Author:0x00007ff7e24fae70>
KINDNESS,/inspirational-quotes/6029-there-are-two-ways-of-spreading-light-to-be,https://assets.passiton.com/quotes/quote_artwork/6029/medium/20250226_wednesday_quote.jpg,There are two ways of spreading light: to be the candle or the mirror that reflects it. ,<Author:0x00007ff7e24f73b0>
KINDNESS,/inspirational-quotes/6345-one-kind-word-can-warm-three-winter-months,https://assets.passiton.com/quotes/quote_artwork/6345/medium/20250225_tuesday_quote.jpg,One kind word can warm three winter months. ,<Author:0x00007ff7e24f3710>
KINDNESS,/inspirational-quotes/6856-kindness-is-a-language-which-the-deaf-can-hear,https://assets.passiton.com/quotes/quote_artwork/6856/medium/20250224_monday_quote.jpg,Kindness is a language which the deaf can hear and the blind can see. ,<Author:0x00007ff7e259fab0>
HELPING OTHERS,/inspirational-quotes/7850-at-the-end-of-the-day-its-not-about-what-you,https://assets.passiton.com/quotes/quote_artwork/7850/medium/20250221_friday_quote.jpg,"At the end of the day, it's not about what you have or even what you've accomplished… It's about who you've lifted up, who you've made better. It's about what you've given back. ",<Author:0x00007ff7e259c950>
HELPING OTHERS,/inspirational-quotes/7630-those-who-are-happiest-are-those-who-do-the,https://assets.passiton.com/quotes/quote_artwork/7630/medium/20250220_thursday_quote.jpg,Those who are happiest are those who do the most for others. ,<Author:0x00007ff7e2599570>
HELPING OTHERS,/inspirational-quotes/4470-an-essential-part-of-a-happy-healthy-life-is,https://assets.passiton.com/quotes/quote_artwork/4470/medium/20250219_wednesday_quote.jpg,"An essential part of a happy, healthy life is being of service to others.  ",<Author:0x00007ff7e2596050>
HELPING OTHERS,/inspirational-quotes/6985-be-a-lamp-or-a-lifeboat-or-a-ladder-help,https://assets.passiton.com/quotes/quote_artwork/6985/medium/20250218_tuesday_quote.jpg,"Be a lamp, or a lifeboat, or a ladder. Help someone’s soul heal. ",<Author:0x00007ff7e2592b30>
HELPING OTHERS,/inspirational-quotes/3700-great-opportunities-to-help-others-seldom-come,https://assets.passiton.com/quotes/quote_artwork/3700/medium/20250217_monday_quote.jpg,"Great opportunities to help others seldom come, but small ones surround us every day. ",<Author:0x00007ff7e25bf3d8>
PERSISTENCE,/inspirational-quotes/6772-if-you-run-into-a-wall-dont-turn-around-and,https://assets.passiton.com/quotes/quote_artwork/6772/medium/20250214_friday_quote.jpg,"If you run into a wall, don't turn around and give up. Figure out how to climb it. ",<Author:0x00007ff7e25bb5f8>
PERSISTENCE,/inspirational-quotes/3241-success-is-the-sum-of-small-efforts-repeated,https://assets.passiton.com/quotes/quote_artwork/3241/medium/20250213_thursday_quote.jpg,"Success is the sum of small efforts, repeated day in and day out. ",<Author:0x00007ff7e25b6918>
PERSISTENCE,/inspirational-quotes/6721-just-dont-give-up-trying-to-do-what-you-really,https://assets.passiton.com/quotes/quote_artwork/6721/medium/20250212_wednesday_quote.jpg,"Just don't give up trying to do what you really want to do. Where there is love and inspiration, I don't think you can go wrong. ",<Author:0x00007ff7e25b3038>
PERSISTENCE,/inspirational-quotes/4103-never-give-up-for-that-is-just-the-place-and,https://assets.passiton.com/quotes/quote_artwork/4103/medium/20250211_tuesday_quote.jpg,"Never give up, for that is just the place and time that the tide will turn. ",<Author:0x00007ff7e25cf5a8>
PERSISTENCE,/inspirational-quotes/7656-we-are-made-to-persist-thats-how-we-find-out,https://assets.passiton.com/quotes/quote_artwork/7656/medium/20250210_monday_quote.jpg,We are made to persist. That's how we find out who we are. ,<Author:0x00007ff7e25cb728>
VOLUNTEERING,/inspirational-quotes/8430-how-wonderful-it-is-that-nobody-need-wait-a,https://assets.passiton.com/quotes/quote_artwork/8430/medium/20250207_friday_quote.jpg,How wonderful it is that nobody need wait a single moment before starting to improve the world. ,<Author:0x00007ff7e25c6908>
VOLUNTEERING,/inspirational-quotes/7077-the-best-way-to-find-yourself-is-to-lose,https://assets.passiton.com/quotes/quote_artwork/7077/medium/20250206_thursday_quote.jpg,The best way to find yourself is to lose yourself in the service of others. ,<Author:0x00007ff7e25c2768>
VOLUNTEERING,/inspirational-quotes/7523-volunteers-do-not-necessarily-have-the-time,https://assets.passiton.com/quotes/quote_artwork/7523/medium/20250205_wednesday_quote.jpg,Volunteers do not necessarily have the time; they just have the heart. ,<Author:0x00007ff7e25dec60>
VOLUNTEERING,/inspirational-quotes/3035-service-to-others-is-the-rent-you-pay-for-your,https://assets.passiton.com/quotes/quote_artwork/3035/medium/20250204_tuesday_quote.jpg,Service to others is the rent you pay for your room here on earth. ,<Author:0x00007ff7e25dad40>
VOLUNTEERING,/inspirational-quotes/7939-if-you-become-a-helper-of-hearts-springs-of,https://assets.passiton.com/quotes/quote_artwork/7939/medium/20250203_monday_quote.jpg,"If you become a helper of hearts, springs of wisdom will flow from your heart. ",<Author:0x00007ff7e25d7640>
HUMILITY,/inspirational-quotes/7921-be-humble-in-your-confidence-yet-courageous-in,https://assets.passiton.com/quotes/quote_artwork/7921/medium/20250131_friday_quote.jpg,Be humble in your confidence yet courageous in your character. ,<Author:0x00007ff7e25d3fe0>
HUMILITY,/inspirational-quotes/7920-humility-is-not-thinking-less-of-yourself-its,https://assets.passiton.com/quotes/quote_artwork/7920/medium/20250130_thursday_quote.jpg,"Humility is not thinking less of yourself, it's thinking of yourself less. ",<Author:0x00007ff7e25d0660>
HUMILITY,/inspirational-quotes/7039-true-humility-is-being-able-to-accept,https://assets.passiton.com/quotes/quote_artwork/7039/medium/20250129_wednesday_quote.jpg,True humility is being able to accept criticisms as graciously as we accept compliments. ,<Author:0x00007ff7e25ec810>
HUMILITY,/inspirational-quotes/8295-i-am-the-me-i-choose-to-be,https://assets.passiton.com/quotes/quote_artwork/8295/medium/20250128_tuesday_quote.jpg,I am the me I choose to be. ,<Author:0x00007ff7e25e8d50>
HUMILITY,/inspirational-quotes/8091-every-person-that-you-meet-knows-something-you,https://assets.passiton.com/quotes/quote_artwork/8091/medium/20250127_monday_quote.jpg,Every person that you meet knows something you don't; learn from them. ,<Author:0x00007ff7e25e47f0>
FREEDOM,/inspirational-quotes/8441-everyone-has-a-right-to-peaceful-coexistence,https://assets.passiton.com/quotes/quote_artwork/8441/medium/20250124_friday_quote.jpg,"Everyone has a right to peaceful coexistence, the basic personal freedoms, the alleviation of suffering, and the opportunity to lead a productive life. ",<Author:0x00007ff7e25fc8a0>
FREEDOM,/inspirational-quotes/5172-everything-can-be-taken-from-a-man-but-one,https://assets.passiton.com/quotes/quote_artwork/5172/medium/20250123_thursday_quote.jpg,"Everything can be taken from a man but one thing: the last of human freedoms—to choose one's attitude in any given set of circumstances, to choose one's own way. ",<Author:0x00007ff7e25f8660>
FREEDOM,/inspirational-quotes/8440-when-we-speak-of-peace-we-should-not-mean-just,https://assets.passiton.com/quotes/quote_artwork/8440/medium/20250122_wednesday_quote.jpg,"When we speak of peace, we should not mean just the absence of war. True peace rests on the pillars of individual freedom, human rights, national self-determination, and respect for the rule of law. ",<Author:0x00007ff7e25f42e0>
FREEDOM,/inspirational-quotes/7776-may-we-think-of-freedom-not-as-the-right-to-do,https://assets.passiton.com/quotes/quote_artwork/7776/medium/20250121_tuesday_quote.jpg,"May we think of freedom, not as the right to do as we please, but as the opportunity to do what is right. ",<Author:0x00007ff7e260fd38>
EQUALITY,/inspirational-quotes/6359-never-never-be-afraid-to-do-whats-right,https://assets.passiton.com/quotes/quote_artwork/6359/medium/20250120_monday_quote.jpg,"Never, never be afraid to do what's right. ",<Author:0x00007ff7e260c4f8>
HOPE,/inspirational-quotes/5220-once-you-choose-hope-anythings-possible,https://assets.passiton.com/quotes/quote_artwork/5220/medium/20240117_friday_quote.jpg,"Once you choose hope, anything's possible. ",<Author:0x00007ff7e26082b8>
HOPE,/inspirational-quotes/6206-someday-all-you-ll-have-to-light-the-way-will,https://assets.passiton.com/quotes/quote_artwork/6206/medium/20240116_thursday_quote.jpg,"Someday all you’ll have to light the way will be a single ray of hope, and that will be enough. ",<Author:0x00007ff7e26041b8>
